minute,webe_count,actigraph_SW,model_pred_SW
2026-05-16 23:39:00,2340.9208379014744,S,S
2026-05-16 23:40:00,113246.46533293776,S,W
2026-05-16 23:41:00,1856.739295629639,S,S
2026-05-16 23:42:00,1965.7401182862525,S,S
2026-05-16 23:43:00,2880.966687955981,S,S
2026-05-16 23:44:00,2438.882472937403,S,S
2026-05-16 23:45:00,2385.6396392289025,S,S
2026-05-16 23:46:00,2853.7452533794717,S,S
2026-05-16 23:47:00,2101.768979197048,S,S
2026-05-16 23:48:00,1951.10798731471,S,S
2026-05-16 23:49:00,2130.52740477123,S,S
2026-05-16 23:50:00,113698.64643759336,S,W
2026-05-16 23:51:00,2515.813134254291,S,S
2026-05-16 23:52:00,2678.28705401397,S,S
2026-05-16 23:53:00,2852.6363987625955,S,S
2026-05-16 23:54:00,3603.630187031391,S,S
2026-05-16 23:55:00,3157.587179690585,S,S
2026-05-16 23:56:00,3384.827753885489,S,S
2026-05-16 23:57:00,2109.4475927925087,S,S
2026-05-16 23:58:00,3247.0385052542406,S,S
2026-05-16 23:59:00,2332.611728851596,S,S
2026-05-17 00:00:00,2368.7074332843918,S,S
2026-05-17 00:01:00,2466.9323308903986,S,S
2026-05-17 00:02:00,2404.681903195553,S,S
2026-05-17 00:03:00,2413.203459126642,S,S
2026-05-17 00:04:00,2624.44229006274,S,S
2026-05-17 00:05:00,1157268.32057546,S,W
2026-05-17 00:06:00,1845.921352762307,S,S
2026-05-17 00:07:00,1795.404354596496,S,S
2026-05-17 00:08:00,1784.6769917511265,S,S
2026-05-17 00:09:00,28585.46171695803,S,W
2026-05-17 00:10:00,1982.2569518389791,S,S
2026-05-17 00:11:00,114640.38929229016,W,W
2026-05-17 00:12:00,1948.640633325529,S,S
2026-05-17 00:13:00,1997.8783168240043,S,S
2026-05-17 00:14:00,58438.77366306291,S,W
2026-05-17 00:15:00,197178.5745998838,W,W
2026-05-17 00:16:00,439340.8426675219,W,W
2026-05-17 00:17:00,1894.0771454375936,S,S
2026-05-17 00:18:00,2562.835668579341,S,S
2026-05-17 00:19:00,2482.9871275017067,S,S
2026-05-17 00:20:00,2241.726866791345,S,S
2026-05-17 00:21:00,2349.431073827538,S,S
2026-05-17 00:22:00,2357.03414971249,S,S
2026-05-17 00:23:00,2209.99341790739,W,S
2026-05-17 00:24:00,2588.932406504842,W,S
2026-05-17 00:25:00,4751458.500380639,W,W
2026-05-17 00:26:00,6452045.956349336,W,W
2026-05-17 00:27:00,3229.679158915773,W,S
2026-05-17 00:28:00,2984.6430711336725,W,S
2026-05-17 00:29:00,2603.9375755202277,W,S
2026-05-17 00:30:00,3448.7276735058404,W,S
2026-05-17 00:31:00,2477.2644800661365,S,S
2026-05-17 00:32:00,2489.7102483629205,S,S
2026-05-17 00:33:00,187290.25778169735,S,W
2026-05-17 00:34:00,1093526.8463740908,S,W
2026-05-17 00:35:00,4687940.982242837,S,W
2026-05-17 00:36:00,1748229.396815169,S,W
2026-05-17 00:37:00,2046.24433693623,S,S
2026-05-17 00:38:00,2154.0411209341983,S,S
2026-05-17 00:39:00,2207.710876284429,S,S
2026-05-17 00:40:00,2167.602755130152,S,S
2026-05-17 00:41:00,424250.9361958337,S,W
2026-05-17 00:42:00,2173.6837110640627,S,S
2026-05-17 00:43:00,2282.728350888501,S,S
2026-05-17 00:44:00,1847.2806141557085,S,S
2026-05-17 00:45:00,165697.60547113867,S,W
2026-05-17 00:46:00,2461.110424805928,S,S
2026-05-17 00:47:00,2565.8866228707047,S,S
2026-05-17 00:48:00,2482.8521521449584,S,S
2026-05-17 00:49:00,401263.38159422285,S,W
2026-05-17 00:50:00,86026.18872557119,S,W
2026-05-17 00:51:00,1621.90962136905,S,S
2026-05-17 00:52:00,1663.5099711871298,S,S
2026-05-17 00:53:00,1659.213478088248,S,S
2026-05-17 00:54:00,1720.583980366544,S,S
2026-05-17 00:55:00,1770.5024940859005,S,S
2026-05-17 00:56:00,331443.4217232233,S,W
2026-05-17 00:57:00,2038.7073021528631,S,S
2026-05-17 00:58:00,1999.7099033608392,S,S
2026-05-17 00:59:00,1930.294990002687,S,S
2026-05-17 01:00:00,1947.326782043805,S,S
2026-05-17 01:01:00,1941.151644070007,S,S
2026-05-17 01:02:00,1962.0083402588932,S,S
2026-05-17 01:03:00,1914.7591933286603,S,S
2026-05-17 01:04:00,1598402.6020793112,S,W
2026-05-17 01:05:00,2199.326295401326,S,S
2026-05-17 01:06:00,381291.8890047852,S,W
2026-05-17 01:07:00,440503.3688727564,S,W
2026-05-17 01:08:00,2735164.2169052446,S,W
2026-05-17 01:09:00,112826.00745705664,S,W
2026-05-17 01:10:00,1000195.8839785304,S,W
2026-05-17 01:11:00,4886.766168086455,S,S
2026-05-17 01:12:00,4186.17509114086,S,S
2026-05-17 01:13:00,3387.8202963577205,S,S
2026-05-17 01:14:00,3051.8353609607584,S,S
2026-05-17 01:15:00,3046.693977681789,S,S
2026-05-17 01:16:00,2201382.421720607,S,W
2026-05-17 01:17:00,1176781.8367670851,S,W
2026-05-17 01:18:00,2296.49029947204,S,S
2026-05-17 01:19:00,169834.69997621293,S,W
2026-05-17 01:20:00,1789.0741484111568,S,S
2026-05-17 01:21:00,56698.966941285005,S,W
2026-05-17 01:22:00,1106.7466276013583,S,S
2026-05-17 01:23:00,1339.4132959373164,S,S
2026-05-17 01:24:00,1352.1358082079605,S,S
2026-05-17 01:25:00,143527.3996540776,S,W
2026-05-17 01:26:00,2503.613904400306,S,S
2026-05-17 01:27:00,444949.9977495609,S,W
2026-05-17 01:28:00,3832.911522849666,S,S
2026-05-17 01:29:00,290802.1010210892,S,W
2026-05-17 01:30:00,1044.001952142462,S,S
2026-05-17 01:31:00,1349.785961701411,S,S
2026-05-17 01:32:00,1460.544545382305,S,S
2026-05-17 01:33:00,1567.9358327053633,S,S
2026-05-17 01:34:00,1597.7167030036726,S,S
2026-05-17 01:35:00,1481.9263557989398,S,S
2026-05-17 01:36:00,1739.9363590094435,S,S
2026-05-17 01:37:00,1742.3098594534677,S,S
2026-05-17 01:38:00,1714.6535937026783,S,S
2026-05-17 01:39:00,1824.3665705240928,S,S
2026-05-17 01:40:00,1880.480554978232,S,S
2026-05-17 01:41:00,276429.8662471076,S,W
2026-05-17 01:42:00,4330.641232502603,S,S
2026-05-17 01:43:00,918835.7732762066,S,W
2026-05-17 01:44:00,2764735.714358538,S,W
2026-05-17 01:45:00,5530.583546902402,S,S
2026-05-17 01:46:00,4151.163178453535,S,S
2026-05-17 01:47:00,3808.701912492317,S,S
2026-05-17 01:48:00,4107.819152441683,S,S
2026-05-17 01:49:00,3713.160549636472,S,S
2026-05-17 01:50:00,3956.587551190256,S,S
2026-05-17 01:51:00,2550681.021702901,S,W
2026-05-17 01:52:00,3220.790618649364,S,S
2026-05-17 01:53:00,3295.368886015727,S,S
2026-05-17 01:54:00,1103226.9303181064,S,W
2026-05-17 01:55:00,742767.3386348621,W,W
2026-05-17 01:56:00,1274.606130868371,S,S
2026-05-17 01:57:00,1428649.8683340903,W,W
2026-05-17 01:58:00,2748.7804286260944,S,S
2026-05-17 01:59:00,184952.67077576756,S,W
2026-05-17 02:00:00,2160.7311930864016,S,S
2026-05-17 02:01:00,214503.2078835633,S,W
2026-05-17 02:02:00,2272.081034859337,S,S
2026-05-17 02:03:00,614915.3635262201,S,W
2026-05-17 02:04:00,2012.4448987685028,S,S
2026-05-17 02:05:00,2947.806054953442,S,S
2026-05-17 02:06:00,1798.185673394546,S,S
2026-05-17 02:07:00,781361.9520705706,S,W
2026-05-17 02:08:00,99174.47546473924,S,W
2026-05-17 02:09:00,481982.1085540223,S,W
2026-05-17 02:10:00,809485.0174043878,S,W
2026-05-17 02:11:00,2340.5867069226515,S,S
2026-05-17 02:12:00,2901.443763410527,S,S
2026-05-17 02:13:00,2681.7802000174925,S,S
2026-05-17 02:14:00,674839.2071500304,S,W
2026-05-17 02:15:00,2703.1110555524065,S,S
2026-05-17 02:16:00,2531.0793427134195,S,S
2026-05-17 02:17:00,2248.239360274645,S,S
2026-05-17 02:18:00,2693.4764117647283,S,S
2026-05-17 02:19:00,3617128.4482660224,S,W
2026-05-17 02:20:00,1113.5154803340847,S,S
2026-05-17 02:21:00,832.8837023691667,S,S
2026-05-17 02:22:00,980.499905106466,S,S
2026-05-17 02:23:00,1084.2565690564734,S,S
2026-05-17 02:24:00,1123.0625457658823,S,S
2026-05-17 02:25:00,1114.6418969546355,S,S
2026-05-17 02:26:00,1190.0621475671069,S,S
2026-05-17 02:27:00,2830.073803522151,S,S
2026-05-17 02:28:00,2375.045920881996,S,S
2026-05-17 02:29:00,2553.3926332483825,S,S
2026-05-17 02:30:00,2518.7156049418336,S,S
2026-05-17 02:31:00,2320.956858945705,S,S
2026-05-17 02:32:00,2454.865139629539,S,S
2026-05-17 02:33:00,2535.601421424195,S,S
2026-05-17 02:34:00,57162.32482211887,S,W
2026-05-17 02:35:00,56571.82320501396,S,W
2026-05-17 02:36:00,1416.787011539207,S,S
2026-05-17 02:37:00,1364.9759897235126,S,S
2026-05-17 02:38:00,513529.298861481,S,W
2026-05-17 02:39:00,3139189.384878956,W,W
2026-05-17 02:40:00,1406198.1877724011,W,W
2026-05-17 02:41:00,533011.4367150759,W,W
2026-05-17 02:42:00,263002.8298268464,W,W
2026-05-17 02:43:00,1720.8519697500303,W,S
2026-05-17 02:44:00,2229.8195025337045,W,S
2026-05-17 02:45:00,2176.6583926516178,S,S
2026-05-17 02:46:00,47111.58581800432,S,W
2026-05-17 02:47:00,3156.1907844977977,S,S
2026-05-17 02:48:00,3172.844331985587,S,S
2026-05-17 02:49:00,3165.699298980544,S,S
2026-05-17 02:50:00,3086.4378483605838,S,S
2026-05-17 02:51:00,3037.929316276277,S,S
2026-05-17 02:52:00,2924.315755104326,S,S
2026-05-17 02:53:00,3060.5450047202467,S,S
2026-05-17 02:54:00,2856.258937042512,S,S
2026-05-17 02:55:00,2952.913744087171,S,S
2026-05-17 02:56:00,2733.013105594422,S,S
2026-05-17 02:57:00,2573.5162737531937,S,S
2026-05-17 02:58:00,44987.82681961176,S,W
2026-05-17 02:59:00,1736.5153047974743,S,S
2026-05-17 03:00:00,1700.579123047879,S,S
2026-05-17 03:01:00,1719.4740372756496,S,S
2026-05-17 03:02:00,101361.41269135124,S,W
2026-05-17 03:03:00,2418.637765292122,S,S
2026-05-17 03:04:00,2594.2291217883176,S,S
2026-05-17 03:05:00,2373.441397066242,S,S
2026-05-17 03:06:00,2475.907677614916,S,S
2026-05-17 03:07:00,2355.2120481408056,S,S
2026-05-17 03:08:00,2494.7623069619294,S,S
2026-05-17 03:09:00,2370.940051524056,S,S
2026-05-17 03:10:00,2321.089753163528,S,S
2026-05-17 03:11:00,2419.8613034991868,S,S
2026-05-17 03:12:00,2289.546606419026,S,S
2026-05-17 03:13:00,2566.919712109506,S,S
2026-05-17 03:14:00,2456.863133849736,S,S
2026-05-17 03:15:00,2367.7530159569287,S,S
2026-05-17 03:16:00,2319.7958686741185,S,S
2026-05-17 03:17:00,2273.340732433615,S,S
2026-05-17 03:18:00,2387.565317935747,S,S
2026-05-17 03:19:00,46203.40389467792,S,W
2026-05-17 03:20:00,2032.6809653169475,S,S
2026-05-17 03:21:00,1972.3443997270515,S,S
2026-05-17 03:22:00,1986.833600304657,S,S
2026-05-17 03:23:00,135165.09914585183,W,W
2026-05-17 03:24:00,3527.0941242864355,S,S
2026-05-17 03:25:00,3773.869619099656,S,S
2026-05-17 03:26:00,4453.699298899082,S,S
2026-05-17 03:27:00,4253.311931772332,S,S
2026-05-17 03:28:00,4562.0392972202535,S,S
2026-05-17 03:29:00,4796.335971978609,S,S
2026-05-17 03:30:00,114247.68767864184,S,W
2026-05-17 03:31:00,1695013.775050617,W,W
2026-05-17 03:32:00,2871.995351088888,S,S
2026-05-17 03:33:00,179306.76773439278,S,W
2026-05-17 03:34:00,1772.123796687185,S,S
2026-05-17 03:35:00,1835.866665989859,W,S
2026-05-17 03:36:00,210588.98542630204,S,W
2026-05-17 03:37:00,1974.656399563348,S,S
2026-05-17 03:38:00,57848.7547828214,S,W
2026-05-17 03:39:00,2302.715142594956,S,S
2026-05-17 03:40:00,452406.87974863127,S,W
2026-05-17 03:41:00,1918.6073301646536,S,S
2026-05-17 03:42:00,3102.2350060838216,S,S
2026-05-17 03:43:00,1233.4076083576365,S,S
2026-05-17 03:44:00,1265.7805818855704,S,S
2026-05-17 03:45:00,222636.71272563675,S,W
2026-05-17 03:46:00,2175.7734741295426,S,S
2026-05-17 03:47:00,1901.213091673635,S,S
2026-05-17 03:48:00,1651716.844401993,S,W
2026-05-17 03:49:00,2430.578599722852,S,S
2026-05-17 03:50:00,9075.365720539476,S,S
2026-05-17 03:51:00,2011.9672640285207,S,S
2026-05-17 03:52:00,1199.7899382011674,S,S
2026-05-17 03:53:00,274120.8036809236,W,W
2026-05-17 03:54:00,388978.7596073739,W,W
2026-05-17 03:55:00,2187655.002539271,W,W
2026-05-17 03:56:00,533320.1942724801,W,W
2026-05-17 03:57:00,1706.3452775417827,W,S
2026-05-17 03:58:00,1645.541503958113,W,S
2026-05-17 03:59:00,208910.3829715285,W,W
2026-05-17 04:00:00,1500.8369816578197,S,S
2026-05-17 04:01:00,1360.0707573312538,S,S
2026-05-17 04:02:00,1709.7207006132812,S,S
2026-05-17 04:03:00,1749.9695576696397,S,S
2026-05-17 04:04:00,85725.5829058192,S,W
2026-05-17 04:05:00,233280.8495046248,W,W
2026-05-17 04:06:00,4055.949687825225,S,S
2026-05-17 04:07:00,5312.990213260462,S,S
2026-05-17 04:08:00,5061.498451846637,S,S
2026-05-17 04:09:00,4224.392281996144,S,S
2026-05-17 04:10:00,4157.441729997125,S,S
2026-05-17 04:11:00,4534.919198614662,S,S
2026-05-17 04:12:00,3276.635272869011,S,S
2026-05-17 04:13:00,3414.031671864039,S,S
2026-05-17 04:14:00,3436.4062349726446,S,S
2026-05-17 04:15:00,3405.160510278438,S,S
2026-05-17 04:16:00,3385.840384187089,S,S
2026-05-17 04:17:00,3677.112364352725,S,S
2026-05-17 04:18:00,57978.25006805203,S,W
2026-05-17 04:19:00,2221.025127786372,S,S
2026-05-17 04:20:00,2240.473815243662,S,S
2026-05-17 04:21:00,2302.585036931472,S,S
2026-05-17 04:22:00,2249.955209142674,S,S
2026-05-17 04:23:00,2298.730694766389,S,S
2026-05-17 04:24:00,2468.711132688768,S,S
2026-05-17 04:25:00,2123.4581601597165,S,S
2026-05-17 04:26:00,2311.018629806713,S,S
2026-05-17 04:27:00,2409.724900834058,S,S
2026-05-17 04:28:00,2343.23122471018,S,S
2026-05-17 04:29:00,5055.863503745713,S,S
2026-05-17 04:30:00,1940.5896500506497,S,S
2026-05-17 04:31:00,2081.432648525792,S,S
2026-05-17 04:32:00,1984.0643986519424,S,S
2026-05-17 04:33:00,2067.08929045494,S,S
2026-05-17 04:34:00,2326.217483728062,S,S
2026-05-17 04:35:00,2381.5638942468067,S,S
2026-05-17 04:36:00,2586.371497490618,S,S
2026-05-17 04:37:00,2926.224086504415,S,S
2026-05-17 04:38:00,866841.3684575481,S,W
2026-05-17 04:39:00,2180.1679233410105,S,S
2026-05-17 04:40:00,2494.061202510493,S,S
2026-05-17 04:41:00,231927.93770973844,W,W
2026-05-17 04:42:00,398279.4663508257,W,W
2026-05-17 04:43:00,907496.0710405364,W,W
2026-05-17 04:44:00,3087.408777654724,W,S
2026-05-17 04:45:00,452869.30809344485,W,W
2026-05-17 04:46:00,1335.1721758464118,S,S
2026-05-17 04:47:00,58425.46281694155,W,W
2026-05-17 04:48:00,2379.832729935064,S,S
2026-05-17 04:49:00,1543.6183176666673,S,S
2026-05-17 04:50:00,1414.386583577172,S,S
2026-05-17 04:51:00,142231.32409311592,S,W
2026-05-17 04:52:00,1908.507599828496,S,S
2026-05-17 04:53:00,292794.68855592445,S,W
2026-05-17 04:54:00,3028.362568453056,S,S
2026-05-17 04:55:00,2762.8110750208143,S,S
2026-05-17 04:56:00,2765.701631443444,S,S
2026-05-17 04:57:00,2606.4939095842856,S,S
2026-05-17 04:58:00,2570.39468214284,S,S
2026-05-17 04:59:00,566986.1288634867,S,W
2026-05-17 05:00:00,1681.7039889760126,S,S
2026-05-17 05:01:00,1143.0879362862834,S,S
